nombre,tipo,precio,barrio,lat,long
Yakiniku Rikyu,restaurante,Medio,Almagro,40.4280979,-3.690173
marmitón,restaurante,Medio,Palacio,40.4108219,-3.712107746868964
Vinoteca Moratín,restaurante,Medio,Cortes,40.412472050000005,-3.6954412113077497
Pilar Akaneya,restaurante,Alto,Rios Rosas,40.4405573,-3.696109
Gioia,restaurante,Medio,Justicia,40.4221651,-3.6983792
Noi Ristorante,restaurante,Medio,Recoletos,40.4220139,-3.6906004
Mudrá Plant Based Recoletos,restaurante,Medio,Recoletos,40.4218211,-3.6898244
Sisapo,restaurante,Medio,Trafalgar,40.4318711,-3.7004566
Deessa,restaurante,Alto,Cortes,40.41555015,-3.692725530645917
Hotaru Madrid,restaurante,Alto,Jerónimos,40.421502,-3.6834669
Yugo the Bunker,restaurante,Alto,Embajadores,40.410375,-3.6938335
El pedrusco de Aldealcorvo,restaurante,Medio,Trafalgar,40.4339433,-3.7000495
KABUKI WELLINGTON SL,restaurante,Alto,Jerónimos,40.4217715,-3.6841825
Restaurante Lakasa,restaurante,Medio,Rios Rosas,40.4408805,-3.7007791
Bardero,restaurante,Medio,Palos de Moguer,40.4039759,-3.694602
Pizzart Fuencarral,restaurante,Medio,Universidad,40.4240282,-3.7005775
Ornella Velázquez,restaurante,Medio,Recoletos,40.4233344,-3.6841057
Lettera Trattoria moderna,restaurante,Medio,Cortes,40.4197308,-3.6981938
Pizzart Villa Canalejas,restaurante,Medio,Cortes,40.4170322,-3.6995917
Pummarola,restaurante,Medio,No encontrado,40.4444685,-3.789951
Restaurante Excalibur Madrid,restaurante,Medio,Casa de Campo,40.4257675,-3.7146245
Rigatoni,restaurante,Medio,No encontrado,40.4723325,-3.852097
Davanti Food & Market,restaurante,Medio,Justicia,40.4220975,-3.6968794
Entre Santos Madrid,restaurante,Medio,Justicia,40.4213536,-3.6986687
Trattoria Malatesta,restaurante,Medio,Sol,40.416551,-3.707066
Minelli 1960,restaurante,Medio,Goya,40.4270602,-3.6721896
Oven Mozzarella Gran Vía 6,restaurante,Medio,Cortes,40.4193615,-3.6979191
Sibuya Urban Sushi Bar Madrid C/Orense,restaurante,Medio,Cuatro Caminos,40.4551425,-3.6947608
Gustazio Gastrobar,restaurante,Medio,Legazpi,40.3883103,-3.6910665
Smok Mok,restaurante,Bajo,Embajadores,40.41308265,-3.703991681218869
Il Pizzaiolo,restaurante,Medio,Justicia,40.4237578,-3.6985395
Pastamore,restaurante,Medio,Goya,40.4276705,-3.6699464
Proverbium,restaurante,Medio,No encontrado,40.4082737,-3.8772492
Dans Le Noir ?,restaurante,Alto,Palacio,40.4160083,-3.711420090625
Kamado Asian Food X-Madrid,restaurante,Medio,No encontrado,40.33970455,-3.8476277532704177
PICCOLO DIAVOLO,restaurante,Medio,Embajadores,40.4114617,-3.6955698
Pizzeria Vesuvio -Hortaleza,restaurante,Bajo,Sol,40.4205983,-3.7006627
BLoved,restaurante,Medio,Sol,40.4194531,-3.6990703
Trattoria Pulcinella,restaurante,Medio,Justicia,40.4246294,-3.6965193
Oven Mozzarella Bar Fuencarral,restaurante,Medio,Universidad,40.4251706,-3.7007733
Pizzie & Dixie,restaurante,Medio,Universidad,40.4257159,-3.702929
Oliveto,restaurante,Medio,Embajadores,40.4097721,-3.6964775
La General Bistró & Café,restaurante,Medio,No encontrado,40.2260137,-3.7580724
Araldo Arte del Gusto,restaurante,Medio,Cortes,40.4176169,-3.698063488576339
Ristorante Reginella,restaurante,Medio,Rios Rosas,40.4414475,-3.6960349
Menomale,restaurante,Medio,Universidad,40.4284441,-3.7063184
